Week;New Subscriptions;Hours;Presentation
1;1256;282;Formal
2;1405;336;Formal
3;1103;232;Formal
4;1333;321;Informal
5;975;261;Informal
6;769;212;Formal
7;585;162;Formal
8;923;266;Informal
9;1118;269;Formal
10;567;185;Informal
11;808;191;Formal
12;1005;226;Formal
13;1366;331;Informal
14;1180;311;Informal
15;851;222;Formal
16;848;227;Informal
17;1033;257;Formal
18;666;193;Formal
19;1289;325;Formal
20;840;216;Informal
21;995;251;Formal
22;1437;345;Informal
23;1133;286;Informal
24;1228;263;Formal